Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol1>,violated,61,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,74,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,183,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,159,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,237,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,226,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,596,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,420,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,146,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,447,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,497,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,36,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,476,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,523,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,147,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,395,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,407,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,540,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,633,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,480,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,218,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,355,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,97,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,230,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,205,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,208,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,31,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,149,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,281,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,515,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,137,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,533,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,518,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,110,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,114,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,509,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,431,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,411,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,577,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,621,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,344,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol1>,valid,140,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,549,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,12,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,538,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,263,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,606,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,608,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,356,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,242,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,280,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,121,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,229,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,377,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,425,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,463,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,415,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,400,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,331,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,380,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,440,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,233,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,548,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,133,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,410,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,545,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,601,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,161,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,602,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,525,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,394,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,635,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,614,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,41,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,625,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,508,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,148,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,598,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,55,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,30,2.7880051136016846
